provincia,poblacion,total,acumuladas,lat,lng,semana
Azuay,881394,83,83,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,10,10,-1.605556000000000,-79.00305600000000,1
Carchi,186869,6,6,0.8121800000000000,-77.71633000000000,1
Cañar,281396,28,28,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,42,42,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,22,22,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,53,53,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,33,33,1.050000000000000,-79.20000000000000,1
Galápagos,33042,0,0,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,424,424,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,39,39,0.3626780000000000,-78.13066700000000,1
Loja,521154,38,38,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,59,59,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,122,122,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,6,6,-2.300000000000000,-78.11666700000001,1
Napo,133705,10,10,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,10,10,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,5,5,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,252,252,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,18,18,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,38,38,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,12,12,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,49,49,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,5,5,-4.120000000000000,-78.80000000000000,1
Azuay,881394,82,165,-2.897414000000000,-79.00448100000000,2
Bolívar,209933,14,24,-1.605556000000000,-79.00305600000000,2
Carchi,186869,13,19,0.8121800000000000,-77.71633000000000,2
Cañar,281396,27,55,-2.733333000000000,-78.83333300000000,2
Chimborazo,524004,56,98,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,29,51,-0.9333330000000000,-78.61666700000001,2
El Oro,715751,76,129,-3.266667000000000,-79.96666700000000,2
Esmeraldas,591083,34,67,1.050000000000000,-79.20000000000000,2
Galápagos,33042,1,1,-0.7999999999999999,-89.40000000000001,2
Guayas,4387434,449,873,-2.183333000000000,-79.88333299999999,2
Imbabura,476257,34,73,0.3626780000000000,-78.13066700000000,2
Loja,521154,57,95,-3.983333000000000,-79.20000000000000,2
Los Ríos,921763,80,139,-1.800000000000000,-79.53333300000000,2
Manabí,1562079,145,267,-1.056181000000000,-80.45521700000000,2
Morona Santiago,196535,17,23,-2.300000000000000,-78.11666700000001,2
Napo,133705,8,18,-0.9890000000000000,-77.81590000000000,2
Orellana,161338,10,20,-0.4666670000000000,-76.96666700000000,2
Pastaza,114202,8,13,-1.066667000000000,-78.00111099999999,2
Pichincha,3228233,273,525,-0.2186110000000000,-78.50972200000000,2
Santa Elena,401178,23,41,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,511151,49,87,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,230503,13,25,0.08472200000000002,-76.88277800000000,2
Tungurahua,590600,54,103,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,120416,7,12,-4.120000000000000,-78.80000000000000,2
Azuay,881394,72,237,-2.897414000000000,-79.00448100000000,3
Bolívar,209933,18,42,-1.605556000000000,-79.00305600000000,3
Carchi,186869,20,39,0.8121800000000000,-77.71633000000000,3
Cañar,281396,18,73,-2.733333000000000,-78.83333300000000,3
Chimborazo,524004,45,143,-1.674347000000000,-78.64829400000001,3
Cotopaxi,488716,41,92,-0.9333330000000000,-78.61666700000001,3
El Oro,715751,63,192,-3.266667000000000,-79.96666700000000,3
Esmeraldas,591083,24,91,1.050000000000000,-79.20000000000000,3
Galápagos,33042,0,1,-0.7999999999999999,-89.40000000000001,3
Guayas,4387434,458,1331,-2.183333000000000,-79.88333299999999,3
Imbabura,476257,46,119,0.3626780000000000,-78.13066700000000,3
Loja,521154,46,141,-3.983333000000000,-79.20000000000000,3
Los Ríos,921763,56,195,-1.800000000000000,-79.53333300000000,3
Manabí,1562079,140,407,-1.056181000000000,-80.45521700000000,3
Morona Santiago,196535,12,35,-2.300000000000000,-78.11666700000001,3
Napo,133705,8,26,-0.9890000000000000,-77.81590000000000,3
Orellana,161338,11,31,-0.4666670000000000,-76.96666700000000,3
Pastaza,114202,9,22,-1.066667000000000,-78.00111099999999,3
Pichincha,3228233,267,792,-0.2186110000000000,-78.50972200000000,3
Santa Elena,401178,26,67,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,511151,47,134,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,230503,11,36,0.08472200000000002,-76.88277800000000,3
Tungurahua,590600,63,166,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,120416,9,21,-4.120000000000000,-78.80000000000000,3
Azuay,881394,70,307,-2.897414000000000,-79.00448100000000,4
Bolívar,209933,13,55,-1.605556000000000,-79.00305600000000,4
Carchi,186869,10,49,0.8121800000000000,-77.71633000000000,4
Cañar,281396,17,90,-2.733333000000000,-78.83333300000000,4
Chimborazo,524004,49,192,-1.674347000000000,-78.64829400000001,4
Cotopaxi,488716,27,119,-0.9333330000000000,-78.61666700000001,4
El Oro,715751,71,263,-3.266667000000000,-79.96666700000000,4
Esmeraldas,591083,25,116,1.050000000000000,-79.20000000000000,4
Galápagos,33042,2,3,-0.7999999999999999,-89.40000000000001,4
Guayas,4387434,437,1768,-2.183333000000000,-79.88333299999999,4
Imbabura,476257,41,160,0.3626780000000000,-78.13066700000000,4
Loja,521154,38,179,-3.983333000000000,-79.20000000000000,4
Los Ríos,921763,69,264,-1.800000000000000,-79.53333300000000,4
Manabí,1562079,143,550,-1.056181000000000,-80.45521700000000,4
Morona Santiago,196535,9,44,-2.300000000000000,-78.11666700000001,4
Napo,133705,5,31,-0.9890000000000000,-77.81590000000000,4
Orellana,161338,8,39,-0.4666670000000000,-76.96666700000000,4
Pastaza,114202,7,29,-1.066667000000000,-78.00111099999999,4
Pichincha,3228233,267,1059,-0.2186110000000000,-78.50972200000000,4
Santa Elena,401178,29,96,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,511151,47,181,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,230503,14,50,0.08472200000000002,-76.88277800000000,4
Tungurahua,590600,58,224,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,120416,2,23,-4.120000000000000,-78.80000000000000,4
Azuay,881394,76,383,-2.897414000000000,-79.00448100000000,5
Bolívar,209933,16,71,-1.605556000000000,-79.00305600000000,5
Carchi,186869,10,59,0.8121800000000000,-77.71633000000000,5
Cañar,281396,23,113,-2.733333000000000,-78.83333300000000,5
Chimborazo,524004,39,231,-1.674347000000000,-78.64829400000001,5
Cotopaxi,488716,34,153,-0.9333330000000000,-78.61666700000001,5
El Oro,715751,56,319,-3.266667000000000,-79.96666700000000,5
Esmeraldas,591083,31,147,1.050000000000000,-79.20000000000000,5
Galápagos,33042,2,5,-0.7999999999999999,-89.40000000000001,5
Guayas,4387434,367,2135,-2.183333000000000,-79.88333299999999,5
Imbabura,476257,42,202,0.3626780000000000,-78.13066700000000,5
Loja,521154,54,233,-3.983333000000000,-79.20000000000000,5
Los Ríos,921763,54,318,-1.800000000000000,-79.53333300000000,5
Manabí,1562079,127,677,-1.056181000000000,-80.45521700000000,5
